,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
APURIMAC-ANDAHUAYLAS-SAN ANTONIO DE CACHI,APURIMAC-ANDAHUAYLAS-SAN ANTONIO DE CACHI,2021-02-08 00:00:00,030212,1,3,0.0,-27.942857142857143,0.0
APURIMAC-ANDAHUAYLAS-SAN JERONIMO,APURIMAC-ANDAHUAYLAS-SAN JERONIMO,2021-03-01 00:00:00,030213,4,8,0.0,-35.6,73.0
APURIMAC-ANDAHUAYLAS-SAN MIGUEL DE CHACCRAMPA,APURIMAC-ANDAHUAYLAS-SAN MIGUEL DE CHACCRAMPA,2020-11-30 00:00:00,030214,1,1,0.0,-10.6,0.0
APURIMAC-ANDAHUAYLAS-SANTA MARIA DE CHICMO,APURIMAC-ANDAHUAYLAS-SANTA MARIA DE CHICMO,2021-03-01 00:00:00,030215,1,3,0.0,-35.6,18.0
APURIMAC-ANDAHUAYLAS-TALAVERA,APURIMAC-ANDAHUAYLAS-TALAVERA,2021-03-01 00:00:00,030216,3,8,0.0,-35.6,0.0
APURIMAC-ANDAHUAYLAS-TUMAY HUARACA,APURIMAC-ANDAHUAYLAS-TUMAY HUARACA,2021-02-01 00:00:00,030217,1,1,0.0,-29.885714285714283,0.0
APURIMAC-ANDAHUAYLAS-TURPO,APURIMAC-ANDAHUAYLAS-TURPO,2021-02-22 00:00:00,030218,1,1,0.0,-18.114285714285714,21.0
APURIMAC-COTABAMBAS-CHALLHUAHUACHO,APURIMAC-COTABAMBAS-CHALLHUAHUACHO,2021-03-01 00:00:00,030506,5,9,0.0,-15.4,2.0
APURIMAC-COTABAMBAS-COTABAMBAS,APURIMAC-COTABAMBAS-COTABAMBAS,2021-02-22 00:00:00,030502,3,6,0.0,-11.714285714285714,12.0
APURIMAC-COTABAMBAS-COYLLURQUI,APURIMAC-COTABAMBAS-COYLLURQUI,2021-02-22 00:00:00,030503,2,1,0.0,-11.714285714285714,25.0
APURIMAC-COTABAMBAS-HAQUIRA,APURIMAC-COTABAMBAS-HAQUIRA,2021-02-22 00:00:00,030504,3,3,0.0,-11.714285714285714,35.0
APURIMAC-COTABAMBAS-MARA,APURIMAC-COTABAMBAS-MARA,2021-03-01 00:00:00,030505,1,4,1.0,-15.4,14.0
