,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
635,AREQUIPA,CASTILLA,APLAO,040401,2021-06,51
636,AREQUIPA,CASTILLA,APLAO,040401,2021-07,127
637,AREQUIPA,CASTILLA,APLAO,040401,2021-08,88
638,AREQUIPA,CASTILLA,APLAO,040401,2021-09,32
639,AREQUIPA,CASTILLA,HUANCARQUI,040407,2021-07,36
640,AREQUIPA,CASTILLA,HUANCARQUI,040407,2021-08,1
641,AREQUIPA,CASTILLA,ORCOPAMPA,040409,2021-07,26
642,AREQUIPA,CASTILLA,ORCOPAMPA,040409,2021-08,6
643,AREQUIPA,CASTILLA,ORCOPAMPA,040409,2021-09,4
644,AREQUIPA,CASTILLA,PAMPACOLCA,040410,2021-07,23
645,AREQUIPA,CASTILLA,PAMPACOLCA,040410,2021-08,2
646,AREQUIPA,CASTILLA,URACA,040413,2021-06,35
647,AREQUIPA,CASTILLA,URACA,040413,2021-07,18
648,AREQUIPA,CASTILLA,VIRACO,040414,2021-07,27
649,AREQUIPA,CASTILLA,VIRACO,040414,2021-08,15
650,AREQUIPA,CASTILLA,VIRACO,040414,2021-09,1
651,AREQUIPA,CAYLLOMA,CABANACONDE,040503,2021-08,25
652,AREQUIPA,CAYLLOMA,CALLALLI,040504,2021-08,44
653,AREQUIPA,CAYLLOMA,CALLALLI,040504,2021-09,2
654,AREQUIPA,CAYLLOMA,CAYLLOMA,040505,2021-08,48
655,AREQUIPA,CAYLLOMA,CHIVAY,040501,2021-06,20
656,AREQUIPA,CAYLLOMA,CHIVAY,040501,2021-07,39
657,AREQUIPA,CAYLLOMA,CHIVAY,040501,2021-08,29
658,AREQUIPA,CAYLLOMA,MAJES,040520,2021-06,95
659,AREQUIPA,CAYLLOMA,MAJES,040520,2021-07,291
660,AREQUIPA,CAYLLOMA,MAJES,040520,2021-08,99
661,AREQUIPA,CAYLLOMA,MAJES,040520,2021-09,4
662,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,040601,2021-06,18
663,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,040601,2021-07,45
664,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,040601,2021-08,25
665,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,040601,2021-09,4
666,AREQUIPA,CONDESUYOS,RIO GRANDE,040606,2021-07,52
667,AREQUIPA,CONDESUYOS,RIO GRANDE,040606,2021-08,1
668,AREQUIPA,CONDESUYOS,RIO GRANDE,040606,2021-09,3
669,AREQUIPA,ISLAY,COCACHACRA,040702,2021-07,58
670,AREQUIPA,ISLAY,COCACHACRA,040702,2021-08,3
671,AREQUIPA,ISLAY,COCACHACRA,040702,2021-09,1
672,AREQUIPA,ISLAY,MOLLENDO,040701,2021-06,59
673,AREQUIPA,ISLAY,MOLLENDO,040701,2021-07,171
674,AREQUIPA,ISLAY,MOLLENDO,040701,2021-08,182
675,AREQUIPA,ISLAY,MOLLENDO,040701,2021-09,12
676,AREQUIPA,ISLAY,PUNTA DE BOMBON,040706,2021-07,58
677,AREQUIPA,ISLAY,PUNTA DE BOMBON,040706,2021-08,1
678,AREQUIPA,ISLAY,PUNTA DE BOMBON,040706,2021-09,1
679,AREQUIPA,LA UNION,ALCA,040802,2021-07,57
680,AREQUIPA,LA UNION,ALCA,040802,2021-09,1
681,AREQUIPA,LA UNION,COTAHUASI,040801,2021-06,31
682,AREQUIPA,LA UNION,COTAHUASI,040801,2021-07,37
683,AREQUIPA,LA UNION,COTAHUASI,040801,2021-08,22
684,AREQUIPA,LA UNION,COTAHUASI,040801,2021-09,1
685,AYACUCHO,CANGALLO,CANGALLO,050201,2021-06,112
686,AYACUCHO,CANGALLO,CANGALLO,050201,2021-07,37
687,AYACUCHO,CANGALLO,CANGALLO,050201,2021-08,1
688,AYACUCHO,CANGALLO,CANGALLO,050201,2021-09,121
689,AYACUCHO,CANGALLO,CHUSCHI,050202,2021-07,33
690,AYACUCHO,CANGALLO,CHUSCHI,050202,2021-08,7
691,AYACUCHO,CANGALLO,CHUSCHI,050202,2021-09,2
692,AYACUCHO,CANGALLO,LOS MOROCHUCOS,050203,2021-06,50
693,AYACUCHO,CANGALLO,LOS MOROCHUCOS,050203,2021-07,35
694,AYACUCHO,CANGALLO,LOS MOROCHUCOS,050203,2021-08,2
695,AYACUCHO,CANGALLO,LOS MOROCHUCOS,050203,2021-09,38
696,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,050204,2021-07,28
697,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,050204,2021-08,6
698,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,050204,2021-09,2
699,AYACUCHO,CANGALLO,PARAS,050205,2021-07,21
700,AYACUCHO,CANGALLO,PARAS,050205,2021-08,6
701,AYACUCHO,CANGALLO,PARAS,050205,2021-09,3
702,AYACUCHO,CANGALLO,TOTOS,050206,2021-07,8
703,AYACUCHO,CANGALLO,TOTOS,050206,2021-08,12
704,AYACUCHO,HUAMANGA,ACOCRO,050102,2021-07,23
705,AYACUCHO,HUAMANGA,ACOCRO,050102,2021-08,11
706,AYACUCHO,HUAMANGA,ACOS VINCHOS,050103,2021-07,6
707,AYACUCHO,HUAMANGA,ACOS VINCHOS,050103,2021-08,19
708,AYACUCHO,HUAMANGA,ACOS VINCHOS,050103,2021-09,1
709,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,,2021-07,121
710,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,,2021-08,11
711,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,,2021-09,11
712,AYACUCHO,HUAMANGA,AYACUCHO,050101,2021-06,814
713,AYACUCHO,HUAMANGA,AYACUCHO,050101,2021-07,916
714,AYACUCHO,HUAMANGA,AYACUCHO,050101,2021-08,508
715,AYACUCHO,HUAMANGA,AYACUCHO,050101,2021-09,784
716,AYACUCHO,HUAMANGA,CARMEN ALTO,050104,2021-07,149
717,AYACUCHO,HUAMANGA,CARMEN ALTO,050104,2021-08,3
718,AYACUCHO,HUAMANGA,CARMEN ALTO,050104,2021-09,3
719,AYACUCHO,HUAMANGA,CHIARA,050105,2021-07,20
720,AYACUCHO,HUAMANGA,CHIARA,050105,2021-08,1
721,AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,2021-06,162
722,AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,2021-07,61
723,AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,2021-08,7
724,AYACUCHO,HUAMANGA,JESUS NAZARENO,050115,2021-09,160
725,AYACUCHO,HUAMANGA,OCROS,050106,2021-07,18
726,AYACUCHO,HUAMANGA,OCROS,050106,2021-08,5
727,AYACUCHO,HUAMANGA,OCROS,050106,2021-09,1
728,AYACUCHO,HUAMANGA,PACAYCASA,050107,2021-07,14
729,AYACUCHO,HUAMANGA,PACAYCASA,050107,2021-08,1
730,AYACUCHO,HUAMANGA,QUINUA,050108,2021-07,27
731,AYACUCHO,HUAMANGA,QUINUA,050108,2021-08,12
732,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,050109,2021-07,16
733,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,050109,2021-08,1
734,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110,2021-06,327
735,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110,2021-07,371
736,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110,2021-08,225
737,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110,2021-09,115
738,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,050111,2021-07,7
739,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,050111,2021-08,2
740,AYACUCHO,HUAMANGA,SOCOS,050112,2021-07,20
741,AYACUCHO,HUAMANGA,SOCOS,050112,2021-08,2
742,AYACUCHO,HUAMANGA,SOCOS,050112,2021-09,1
743,AYACUCHO,HUAMANGA,TAMBILLO,050113,2021-07,19
744,AYACUCHO,HUAMANGA,TAMBILLO,050113,2021-08,1
745,AYACUCHO,HUAMANGA,VINCHOS,050114,2021-07,76
746,AYACUCHO,HUAMANGA,VINCHOS,050114,2021-08,4
747,AYACUCHO,HUAMANGA,VINCHOS,050114,2021-09,2
748,AYACUCHO,HUANCA SANCOS,CARAPO,050302,2021-06,3
749,AYACUCHO,HUANCA SANCOS,CARAPO,050302,2021-07,8
750,AYACUCHO,HUANCA SANCOS,CARAPO,050302,2021-08,2
751,AYACUCHO,HUANCA SANCOS,SACSAMARCA,050303,2021-07,5
752,AYACUCHO,HUANCA SANCOS,SACSAMARCA,050303,2021-08,2
753,AYACUCHO,HUANCA SANCOS,SACSAMARCA,050303,2021-09,1
754,AYACUCHO,HUANCA SANCOS,SANCOS,050301,2021-06,37
755,AYACUCHO,HUANCA SANCOS,SANCOS,050301,2021-07,8
756,AYACUCHO,HUANCA SANCOS,SANCOS,050301,2021-08,1
757,AYACUCHO,HUANCA SANCOS,SANCOS,050301,2021-09,20
758,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,050304,2021-06,1
759,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,050304,2021-07,10
760,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,050304,2021-08,3
761,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,050304,2021-09,2
762,AYACUCHO,HUANTA,AYAHUANCO,050402,2021-07,17
763,AYACUCHO,HUANTA,AYAHUANCO,050402,2021-08,1
764,AYACUCHO,HUANTA,CANAYRE,050409,2021-07,13
765,AYACUCHO,HUANTA,CANAYRE,050409,2021-08,2
766,AYACUCHO,HUANTA,CHACA,050412,2021-07,9
767,AYACUCHO,HUANTA,CHACA,050412,2021-09,1
768,AYACUCHO,HUANTA,HUAMANGUILLA,050403,2021-07,41
769,AYACUCHO,HUANTA,HUANTA,050401,2021-06,218
770,AYACUCHO,HUANTA,HUANTA,050401,2021-07,96
771,AYACUCHO,HUANTA,HUANTA,050401,2021-08,29
772,AYACUCHO,HUANTA,HUANTA,050401,2021-09,278
773,AYACUCHO,HUANTA,IGUAIN,050404,2021-07,13
774,AYACUCHO,HUANTA,LLOCHEGUA,050408,2021-06,31
775,AYACUCHO,HUANTA,LLOCHEGUA,050408,2021-07,13
776,AYACUCHO,HUANTA,LLOCHEGUA,050408,2021-08,2
777,AYACUCHO,HUANTA,LLOCHEGUA,050408,2021-09,20
778,AYACUCHO,HUANTA,LURICOCHA,050405,2021-07,53
779,AYACUCHO,HUANTA,LURICOCHA,050405,2021-08,2
780,AYACUCHO,HUANTA,LURICOCHA,050405,2021-09,3
781,AYACUCHO,HUANTA,PUCACOLPA,050411,2021-07,15
782,AYACUCHO,HUANTA,PUCACOLPA,050411,2021-08,1
